No.,JOBNAME,SCHEDTABLE,APPLICATION,SUB-APPLICATION,RUN AS,ORDER ID,ODATE,START TIME,END TIME,RUN TIME,RUN COUNTER,ENDED STATUS,HOST,CPUTIME
5,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,3bsg2,20250107,2025-01-08 4:05:27,2025-01-08 4:09:06,0:03:39,1,OK,PE-SENTRY-00,0:00:00
6,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,3f6na,20250108,2025-01-09 4:05:31,2025-01-09 4:09:11,0:03:40,1,OK,PE-SENTRY-00,0:00:00
7,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,3m17e,20250109,2025-01-10 4:06:47,2025-01-10 4:10:27,0:03:40,1,OK,PE-SENTRY-00,0:00:00
8,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,3pmw3,20250110,2025-01-11 4:06:33,2025-01-11 4:10:13,0:03:40,1,OK,PE-SENTRY-00,0:00:00
9,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,3vx23,20250113,2025-01-14 4:05:20,2025-01-14 4:09:00,0:03:40,1,OK,PE-SENTRY-00,0:00:00
10,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,3z736,20250114,2025-01-15 4:08:00,2025-01-15 4:11:39,0:03:39,1,OK,PE-SENTRY-00,0:00:00
11,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,42k0l,20250115,2025-01-16 4:05:27,2025-01-16 4:09:07,0:03:40,1,OK,PE-SENTRY-00,0:00:00
12,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,465z8,20250116,2025-01-17 4:06:42,2025-01-17 4:10:21,0:03:39,1,OK,PE-SENTRY-00,0:00:00
13,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,49nsw,20250117,2025-01-18 4:05:24,2025-01-18 4:07:51,0:02:27,1,OK,PE-SENTRY-00,0:00:00
14,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,4eonw,20250117,2025-01-20 12:09:24,2025-01-20 12:13:05,0:03:41,1,OK,PE-SENTRY-00,0:00:00
15,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,4eonw,20250117,2025-01-20 16:10:48,2025-01-20 16:13:15,0:02:27,2,OK,PE-SENTRY-00,0:00:00
16,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,4eonr,20250117,2025-01-20 16:53:37,2025-01-20 16:56:03,0:02:26,1,OK,PE-SENTRY-00,0:00:00
17,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,4gazb,20250120,2025-01-21 5:51:24,2025-01-21 5:53:50,0:02:26,1,OK,PE-SENTRY-00,0:00:00
18,PMFICP0010,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR-RC,sentry,4j7my,20250121,2025-01-22 4:06:44,2025-01-22 4:09:10,0:02:26,1,OK,PE-SENTRY-00,0:00:00
1,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,2u6d6,20241231,2025-01-01 2:50:28,2025-01-01 2:52:55,0:02:27,1,OK,PE-SENTRY-00,0:00:00
2,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,2z2yk,20250102,2025-01-03 2:36:53,2025-01-03 2:39:19,0:02:26,1,OK,PE-SENTRY-00,0:00:00
3,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,32d6c,20250103,2025-01-04 2:13:15,2025-01-04 2:15:41,0:02:26,1,OK,PE-SENTRY-00,0:00:00
4,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,38lbq,20250106,2025-01-07 2:44:14,2025-01-07 2:46:40,0:02:26,1,OK,PE-SENTRY-00,0:00:00
5,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,3bs85,20250107,2025-01-08 1:53:35,2025-01-08 1:56:02,0:02:27,1,OK,PE-SENTRY-00,0:00:00
6,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,3f60s,20250108,2025-01-09 2:06:48,2025-01-09 2:10:28,0:03:40,1,OK,PE-SENTRY-00,0:00:00
7,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,3m14u,20250109,2025-01-10 1:49:34,2025-01-10 1:52:01,0:02:27,1,OK,PE-SENTRY-00,0:00:00
8,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,3pmkz,20250110,2025-01-11 2:50:43,2025-01-11 2:53:09,0:02:26,1,OK,PE-SENTRY-00,0:00:00
9,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,3vwlf,20250113,2025-01-14 2:15:57,2025-01-14 2:18:23,0:02:26,1,OK,PE-SENTRY-00,0:00:00
10,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,3z641,20250114,2025-01-15 2:01:20,2025-01-15 2:08:25,0:07:05,1,OK,PE-SENTRY-00,0:00:00
11,PMFICP0008,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR-RC,sentry,42jt8,20250115,2025-01-16 1:55:04,2025-01-16 1:57:30,0:02:26,1,OK,PE-SENTRY-00,0:00:00
